Content,is_pos,is_serv,is_product,is_price,is_env
吸管都不知道带一下,-1,-1,,,
#鲜蔬脆鸡堡餐#好吃,1,,1,,
送货很快，只是也太少了啊，30套餐一人吃不饱,-1,1,-1,,
东西缺了都不知道吗？,-1,-1,,,
炸鸡很好吃，柠檬饮料很好是纯正果汁做的,1,,1,,
#鲜蔬脆鸡堡餐#味道不错、不过吃到最后有点腻#北海道雪布蕾#口感很棒,-1,,-1,,
不错，配送快，服务也好,1,1,,,
食物有点冷，不过味道不错,-1,-1,1,,
鸡煲里面肉太硬了，吃不动,-1,,-1,,
很好，很准时的，服务很好,1,1,,,
烤翅还可以挺好吃的，鸡块的话就没有在店里面吃的好吃，感觉不是很脆，有点皮掉了,-1,,-1,,
饮品我备注了温的鲜漼柠檬C和套餐不符，结果送来的是冰可乐。,-1,-1,,,
给的一对鸡翅特别小 而且好像炸过了好多遍的,-1,,-1,,
双鸡堡里面的肉有水冒出来。不太好吃其实。。香辣鸡翅很好吃！,-1,,-1,,
#精彩单人餐#手枪鸡比以往的都要小 而且骨头里面有的有碎末 有一点难吃的东西#南洋鸡肉卷#鸡肉卷挺好的,-1,,-1,,
不错  跟在店里吃一样  这么冷的天气 骑手辛苦了,1,1,1,,
老公说想吃  哈哈哈哈哈,1,,,,
非常好，骑手辛苦，谢谢,1,1,,,
就是没有给我拿??、我备注了的,-1,-1,,,
和去店里吃的感觉一样，大风天不用出门能吃到热乎的快餐，谢谢送餐小哥，辛苦了！,1,1,1,,
好吃，快，还热乎乎的,1,1,1,,
很满意 ??棒棒哒！！！,1,,,,
送的挺快，满意。\n,1,1,,,
q虾堡与淡淡的芥末味非常搭，鸡柳以前送家里会有点软，现在有技术改进，非常酥脆。德克士解馋非常值得拥有。,1,,1,,
好，非常好吃啦啦啦,1,,1,,
非常好一直很喜欢吃,1,,,,
态度好速度快，,1,1,,,
二连浩特的店垃圾！这地方什么都特殊化！烂透了！吃的一般吧！,-1,,,,
很好，特别是送外卖的小哥，服务很好,1,1,,,
很好，不错，满意,1,,,,
太速度了，好评好评,1,1,,,
照烧鸡饭米饭没熟，鸡肉不对劲儿像是放的时间长了，汉堡包肉也是不新鲜时间长了,-1,,-1,,
包装盒真是完美 看着比吃着更有食欲 照烧鸡腿饭和脆皮鸡还好 蝴蝶虾和薯饼真心吃不习惯这味道 不知道是什么材质 酱包配的很全 总体不错,-1,,-1,,
点的套餐，结果就送了一个汉堡，鸡块跟可乐后补的，这汉堡里的菜叶子……有点儿无语，时间超慢，这次点餐不成功,-1,,-1,,
送货快，就是冬天冷，有点凉了,-1,1,,,
态度非常好，很快,1,1,,,
东西一般，，，不是很好吃,-1,,-1,,
不错的，也很准时,1,1,,,
小哥辛苦，外面路滑，小哥还准时到达，谢谢小哥,1,1,,,
送餐员特别快，很有礼貌，菜品保存完整,1,1,,,
非常满意，速度快，态度好，谢谢您，辛苦了,1,1,,,
快快快快快快快快,1,1,,,
好吃，送餐还快，哈哈,1,1,1,,
速度很快，谢谢哦,1,1,,,
很好，觉得这种汉堡类的还是大品牌的比较靠谱,1,,,,
配送快，餐好吃呦,1,1,,,
汉堡不热了，表扬咖啡，一点没洒,-1,1,,,
不知道为嘛喝完可乐之后一直想吐  不满意,-1,,-1,,
#原味脆皮炸鸡（鸡腿）#这个非常不好吃     是满减的原因吗  以前不这样啊,-1,,-1,,
骑手非常快，食品保持完整,1,1,,,
挺好吃  就是都凉了,-1,-1,1,,
非常好骑手超级快,1,1,,,
让给带几袋番茄酱，没有带，这个东西需要花钱吗，不开心,-1,-1,,,
骑手太给力了辛苦了,1,1,,,
一如既往的好，配送速度快,1,1,,,
谢谢快递小哥谢谢谢谢辛苦了,1,1,,,
赞??，喜欢，味道不错,1,,1,,
可乐冰加多了，，，,-1,-1,,,
口味一般，不好吃，,-1,,-1,,
快递小哥非常好，东西很好吃！,1,1,,,
#超级鸡腿堡+香辣鸡翅+中可#非常好,1,,1,,
谢谢骑手，辛苦了,1,1,,,
味道不错，送餐快！,1,1,1,,
#原味脆皮炸鸡*2+香辣鸡翅+中可#还玩文字游戏呢？这样的话，把名头改了,-1,,-1,,
挺好的，和店里吃的一样,1,,1,,
一样的超级鸡腿堡，两个价格，怎么办\n\n,-1,,-1,,
说实话感觉汉堡好小啊！味道不错！#超级鸡腿堡+香辣鸡翅+中可#,-1,,-1,,
啥玩应，要脆皮炸鸡，送来变鸡腿小腿，照烧饭没筷子没勺子，我用手抓？,-1,-1,,,
非常好，不错！就是热橙汁，没给我拿吸管！下次一定要注意哈！,-1,-1,,,
新脆皮炸鸡就是一个鸡腿…… 还不如同等价位的脆皮炸鸡 汉堡一点也不超级 肉 沙拉 大头菜，没了……,-1,,-1,,
黄金虾堡跟以前不一样了，原来面包是酥的，现在就是普通面包，不好吃了,-1,,-1,,
嗯送餐及时，人多的事儿，有些忙，不过都是到饭点儿了忙是正常的，鸡腿很大只的，辛苦送餐员了，五星好评#原味脆皮手枪腿##照烧鸡肉饭##百香果柠檬双享饮##魔法鸡块/6块#,1,1,,,
13块钱3个吗？,-1,,,-1,
跟以前一样样的。,1,,,,
宝贝爱吃，口味也挺好的,1,,1,,
第一次，感觉很好！,1,,,,
很好吃，吃的爽！,1,,1,,
我真心不觉得麦当劳就是比德克士好吃，价钱也差不了多少吧？我感觉你们生意做不过麦当劳就是服务不行知道吗？我的口味备注是摆设吗？说了汉堡不要沙拉酱，结果呢？我只能让我妹吃了，说了多拿两包番茄酱，结果就两包！怎么那么抠搜呢？我两包番茄酱能吃穷你是咋滴？很久不吃了，也别糊弄人啊，我夏天吃这个鸡排还是手一般大，看看现在，整的和炸串的鸡柳一般大了要，不会再来，也会号召身边朋友不来！,-1,-1,-1,,
口味挺好的，下次再来,1,,1,,
量没有在店里足！这样不好吧！,-1,,-1,,
可以，很棒，，，快递员服务到位,1,1,,,
太恶心了，三份每一份都难吃！是因为难吃才搞活动做减价活动吗！！蝴蝶虾跟坏了一样。咖喱脆皮鸡腿饭更是不能吃！,-1,,-1,,
#肥牛堡餐#为何肉就那么少？图片不符合，最重要问题，配餐为何不给纸？,-1,-1,,,
#超级鸡腿堡##孜然鸡柳#味道不错！加油,1,,1,,
送餐员辛苦了！感谢,1,1,,,
这个评论是写给外卖小哥的，地址写错了，他都给从送，而且爬到六楼，晚上十点半了，还不下班，很辛苦，服务超级好。给你点个赞,1,1,,,
十二块钱一个的脆皮炸鸡 为什么变得这么小 还能不能愉快的玩耍了？！好伤心??！,-1,,-1,,
少了很多东西，少了鸡翅，鸡腿，上面有的东西，数量不够,-1,,-1,,
这量有点说不过去吧？13块钱三个虾，鸡翅那么小11....无语中,-1,,-1,-1,
数量不对，鸡翅缺一块，魔法鸡块缺两块。这是算什么！为什么呢,-1,,-1,,
生菜是坏的#超级鸡腿堡#,-1,,-1,,
#双鸡堡##咔滋薯霸（大）##鲜萃柠檬饮##大口吃G排#味道不错，薯条价钱有点贵了吧这个量，柠檬水也有点价钱离谱。,-1,,1,-1,
不错。好吃，就是没送我辣椒酱,-1,-1,1,,
一切都不错，值得购买\n,1,,,,
下单20分钟了，才打电话告诉我没有照烧饭，我换了菠萝堡，结果一个小时才给我送来，送过来汉堡都冷了，汉堡盒都变形了，汉堡都漏出来了。很差。,-1,-1,,,
很好，服务也好，天气冷了谢谢送餐员辛苦了。。。,1,1,,,
服务态度好，速度快，好评！,1,1,,,
第一次点餐，送货速度挺快的，送货员态度也很好,1,1,,,
点了可乐商家没有发可乐\n差评,-1,-1,,,
好吃不错放心购买,1,,1,,
不错\n好吃，一如既往地好,1,,1,,
不错很好吃，送的很快,1,1,,,
大姐很辛苦 送达上了楼 路也不好走还下雨 点个赞,1,1,,,
我点的是大薯吧&nbsp;怎么一共不到二十根,-1,,-1,,
咖喱脆皮鸡腿饭的鸡肉是不知道过了几次油的饭吧,-1,,-1,,
少给我送的可乐。。。。。,-1,-1,,,
鸡肉卷的饼是用手抓饼做的，包装也不是德克士的包装。,-1,-1,,,
感恩中秋十五，送餐都这么及时，虽然并不好吃的确温暖，不过妈妈知道会不会责备我，呵呵呵,-1,1,-1,,
真心醉了，我拍配送员等我太久，我按时到楼下，等配送等了40分钟，送来的汉堡，米饭，热奶茶都已经是凉的了！奶茶撒了一小半！真是我最失望的一次外卖！,-1,-1,,,
量再多点，就好了,-1,,-1,,
汉堡是凉的。薯条都软了没有纸巾没有番茄酱,-1,-1,,,
好吃，香辣鸡块好小,-1,,-1,,
味道不错得，喜欢可以点??加油加油加油加油,1,,1,,
挺好的！有需要时候，还会再买,1,,,,
口味一般，#酱烧肥牛饭#,-1,,-1,,
速度快，工作人员热情！,1,1,,,
真的很好吃，都不知道这是第几次来了,1,,1,,
很不错吧！下次还会购买,1,,,,
作为一个德江人，我根本不喜欢胡椒粉好吗？我要的是辣椒，辣椒，辣椒。,-1,,-1,,
很慢很慢！比预计时间超了半小时，打电话询问商家态度不是很好！不敢恭维这样的服务态度。,-1,-1,,,
态度很好，没有什么可挑剔的，谢谢,1,1,,,
不是说的炸鸡吗？为什么是炸鸡腿？？？？,-1,-1,,,
好不错，挺好的，加油,1,,,,
速度很快，都还是热的。对于我来说#辣味脆皮炸鸡#还缺少一些辣味。整体还是不错的,-1,1,-1,,
烤翅不新鲜，牛肉饭依旧不错，就是这次牛肉量少了挺多,-1,,-1,,
鸡排没问题，汉堡吃着怎么有股味道，感觉放很久了,-1,,-1,,
以前送的是薯条和可乐，现在送的是鸡翅和可乐，我在浙江，给女朋友点的，没注意看，还以为和以前一样送的是薯条，然后我跟女朋友说有薯条，结果到了她就问我薯条呢，后面我再去看就尴尬了,-1,-1,,,
鸡翅和薯条都不错，就是买了6个鸡翅少送了一个，希望下次不要忘了,-1,-1,,,
一开始看评论不好，还有点犹豫，结果很好，送的蕃茄酱和辣椒包也够,1,1,,,
好吃，而且鸡翅明显是新出炉的，热热的，赞(/≧▽≦/),1,,1,,
6.6的鸡腿好小(第一次期)#6.6秒杀香辣鸡翅#外壳还能期出面粉的味道(淀粉？)#草莓柠檬欢享饮#升仙儿嘞感觉提神醒脑,-1,,-1,,
大部分都很好，就是我买了饭没有勺，咋滴，叫我用手抓啊？,-1,-1,,,
骑手棒棒的棒棒的,1,1,,,
真心的 太好吃了??,1,,1,,
要的炸鸡结果送了一对辣翅    打电话没人接,-1,-1,,,
太凉了，这种快餐热着才好吃,-1,-1,,,
好吃很满意服务也好,1,1,,,
粥太咸了#山珍鸡肉粥#,-1,,-1,,
糊弄人呢啊，打出名声了，就不给好好做了，菜叶也不给正经放了，菠萝都坏了，不能吃了，下次再这样就直接退货烦死了#菠萝鸡腿堡#,-1,,-1,,
吸管被可乐喝了吗,-1,-1,,,
豆浆没给我送，怎么办？找谁,-1,-1,,,
深夜福利，好吃，犒劳一下自己幼小的心灵，貌似快打烊了，特意给我做的，特别热，谢谢给我做好吃的人，谢谢骑手辛苦您了,1,1,,,
咖喱饭的咖喱太少,-1,,-1,,
饭能给的在少点吗 ,-1,,-1,,
感谢美团送餐！方便快捷！,1,1,,,
就送金狮用了半个小时，鸡肉都不脆了，晕,-1,-1,-1,,
什么情况，备注要鸡块了还给鸡腿，鸡腿不好卖吧,-1,-1,,,
豆浆巨好喝，汉堡也不错,1,,1,,
我的东西都洒了，而且我要了两份炸鸡，给我一袋辣椒粉让我怎么吃？,-1,-1,,,
怎么送过来就缺一个汉堡了。醉了,-1,-1,,,
咖喱汤怎么这么咸了？,-1,,-1,,
热咖啡没有了吗 我其实很喜欢热咖啡 但是因为没有了 所以才点的奶茶,-1,-1,,,
今天的照烧都焦了，黑呼呼#照烧鸡肉饭#,-1,,-1,,
都是洋葱，俩个孩子都不吃洋葱,-1,,-1,,
实在垃圾的难吃，不如街边的快餐\n\n,-1,,-1,,
炒的洋葱肉片没盐，色泽不好看，没有一点胃口，其他的还行！,-1,,-1,,
运送速度很快，味道也不错,1,1,,,
请确认食物以后再送出来  你这样给我少拿一份也不能 及时送过来 还导致人家的用餐心情。,-1,-1,,,
#南洋鸡肉脆皮卷（新）#就只是手抓饼皮包着的，里面的肉很涩不好吃,-1,,-1,,
没有餐具，叫人怎么吃,-1,-1,,,
凉的，感觉最差的德克士,-1,-1,,,
德意双拼只有四对，少了一对炸翅，打客服没人接,-1,-1,,,
不错不错#超级鸡腿堡(原味)#,1,,1,,
餐具未放怎么吃呢？,-1,-1,,,
汉堡里面的肉就一点点，正常一个汉堡里面的肉可以做外卖汉堡两个，实在抠，这都想的出来，卖不起就别做外卖！欺骗顾客,-1,,-1,,
90分钟这也太慢了吧,-1,-1,,,
味道不错。下次还会光顾的。#黄金Q虾堡##南洋鸡肉卷#,1,,1,,
勺子都没有，用手抓？你吃给我看,-1,-1,,,
人家四块钱的配送费还送上门，你收五块钱还要人下楼拿。不爽,-1,-1,,,
咖喱酱不够，饭比较硬，温的,-1,,-1,,
很好吃，女儿好喜欢，下次还会再来的。,1,,1,,
#双鸡堡##香酥鱿鱼##魔法鸡块/6块##孜然鸡柳/7根#味道不错 就是这么多东西只配了一包番茄酱不够啊??,-1,-1,1,,
#超级鸡腿堡餐#好\n,1,,,,
很好、包装也特别好,1,,,,
整洁卫生，下次还买。,1,,,,1
套餐划不来。味道一般。超级鸡腿堡还没双鸡堡得大，好吃,-1,,1,-1,
快递很快，，服务好。。,1,1,,,
商家少给我一只鸡腿,-1,-1,,,
很满意，很快，服务态度很好。,1,1,,,
第一次在网上买，很方便，快递员也很好，第一次忘了放番茄酱，马上又送了几包过来，点赞??,1,1,,,
这照烧鸡米饭，跟我在外面德克士吃的不同，蔬菜缩水了，鸡肉变得非常少，分量严重不足,-1,,-1,,
今天的鸡翅感觉没有之前的好吃，可能不是刚出炉的吧。,-1,,-1,,
今天这饭太差劲了，肉跟平常完全不一样，饭也太少了，又是凉的，怎么吃～～～～～,-1,,-1,,
我的鸡翅哪去了？只有肥牛堡，鸡块和鲜蔬堡,-1,-1,,,
首先来说份量少的可怜，然后味道也一般，早知道就去肯德基买了，哎!太让我失望了!,-1,,-1,,
我就想知道   为什么价格不一样   还有我要的是鸡块   他给我弄一个鸡腿。,-1,-1,,-1,
习惯好评 很少评论 那个新出来的能叫汉堡 肉有几片 又小又贵又不好吃,-1,,-1,-1,
居然少发货，可惜骑手车也没电了，还得自己跑一趟，感觉沙拉酱没什么味道，要不是有优惠卷你是不是还得退配送费我,-1,-1,-1,,
椰蓉蝴蝶虾又贵又难吃，脆皮炸鸡一股怪味,-1,,-1,-1,
这就是13块钱一份的大薯条，有没有搞错。只有半袋就算了，这都没有一份小薯条多好吗？橙汁杯子只有一个一次性纸杯大。我也是超级无语的。,-1,,-1,,
非常满意，时间也挺准时,1,1,,,
还行吗，那个暑假到家还是脆的？,1,,1,,
有点凉了。鸡腿的脆皮有一点硬了。,-1,,-1,,
给孩子买的，双鸡堡吃到最后吃出一根头发，好恶心，老板好黑心！！！！！！,-1,,-1,,
味道很好,1,,1,,
感觉没有在店里好吃，不过也好评吧??,-1,,-1,,
魔法鸡块太难吃了，好几块碎的,1,,1,,
温度不好，都凉了,-1,,-1,,
希望下次再多放点咖喱,-1,,-1,,
服务非常好，跑跑也非常好，下次还会来的,1,1,,,
说了让带黑胡椒包也不给带  ，到了之后韩版都散花了 不包纸直接装盒 就这样的商家以后不吃德克士也罢,-1,-1,,,
给的料很足，好，还会经常来的。,1,,1,,
味道一直好，孩子喜欢！,1,,1,,
#南洋鸡肉脆皮卷#这个饼太硬了，咬不动，其他都很好,-1,,-1,,
#双层脆鸡大大堡套餐#饮料是翡翠柠檬超大杯的，给我换成可乐就不说了，给我的可乐还是中杯的，给个解释,-1,-1,,,
\n鸡肉卷的饼成了手抓饼了。不好吃,-1,-1,-1,,
非常不错的，我儿子喜欢吃#双鸡堡##超级鸡腿堡(辣味)#,1,,1,,
鸡肉感觉不熟，面包有种酸味，只有薯条能吃，跟以前真的没法比，难吃,-1,,-1,,
口感好好 就是不明白有薯条为什么不给番茄酱??,-1,-1,1,,
#南洋鸡肉脆皮卷#怎么是这个饼皮了，像是烙饼呀？,-1,,-1,,
挺好的  很满意,1,,,,
非常满意，活动也好,1,,,,
喜欢吃还不贵，快递还很速度,1,1,,1,
薯条都软了，跟水泡的得似的,-1,,-1,,
炸鸡的味道差点！,-1,,-1,,
#照烧鸡腿饭套餐##咔滋薯霸（中）#很好！！！??????,1,,1,,
最爱#孜然鸡柳/7根#鸡块一般#德克士鸡块/6块#,1,,1,,
小哥，把奶茶弄撒了点和我说了，小哥真好，还告诉我了，,1,1,,,
没有餐巾纸的的的,-1,-1,,,
特别好吃，每次孩子都会点这个汉堡,1,,1,,
还是一如既往的好,1,,,,
很好吃，和在店里吃的没两样，还会光顾的,1,,1,,
送错东西了，饮料错了，炸鸡没有送了分薯条。。。#至尊脆皮鸡腿堡套餐#,-1,-1,,,
之前一直去店里吃  第一次点外卖  派送晚点  致电咨询  商家很霸气的回复“你要等不了  就退单吧”呵呵  希望商家以后能有个良好的沟通方式  ,-1,-1,,,
还那样味道没变。,1,,1,,
48分钟送达，薯条都软了，太差劲了,-1,-1,-1,,
#照烧鸡腿饭套餐##咔滋薯霸（大）##幸福热奶茶#好吃，赞??,1,,1,,
菠萝口味太赞啦，孩子超级爱吃啊,1,,1,,
特别差，没带鸡块的调料，而且都棉了，差评,-1,,-1,,
#超级鸡腿堡(原味)#怎么有点奥尔良的味道…不太好吃，其他都还好吃#咔滋薯霸（大）##德克士鸡块/6块#玉米杯袖珍 有点咸甜味#阳光玉米杯#,-1,,-1,,
送餐员态度好，食品很美味??????,1,1,1,,
纸巾都不给#超级鸡腿堡(辣味)##超级鸡腿堡(原味)#,-1,-1,,,
#孜然鸡柳/7根#,,,,,
不合算哦上当受骗,-1,,,-1,
好好高好高好好好,1,,,,
这蔬菜和肉都没有无语了,-1,,-1,,
#脆皮手枪腿##新脆皮炸鸡#,1,,,,
#双鸡堡套餐（炸鸡）##超级鸡腿堡单人餐#好吃,1,,,,
第一次点这个挺好吃的,1,,1,,
好吃 味道很好  下次还来\n送货特快,1,1,1,,
快递小哥很好，就是觉得德克士的味道没有以前好了呢！不知道是不是因为打包的缘故,-1,1,-1,,
非常棒，无可挑替,1,,,,
非常快就送到了，食物不错，跟店里吃的一样！,1,1,,,
送货快！食物味道好！孩子特爱吃,1,,1,,
我的番茄酱呢？都备注特意告诉多放两袋，结果一袋嗯没有！,-1,-1,,,
#超级鸡腿堡(原味)#特别好吃.满足了我的胃.#香辣鸡翅/2块#特别符合我的口味.以后还会常来啊.,1,,1,,
孩子很喜欢，冬天饮料里最好不要放冰,-1,,-1,,
#菠萝鸡腿堡套餐（炸鸡）#很好#脆皮手枪腿#很好#德克士鸡块/6块#很好#孜然鸡柳/7根#很好,1,,1,,
超级差评，一个小时才到，还提前给我完成订单，还说爆单了，少接点不就行了，薯条都没法吃了，汉堡也是软的,-1,-1,,,
鲜疏脆鸡煲里面没有汉堡，只有鸡翅和可乐，真没良心，还这么贵，大家最好别买,-1,,-1,-1,
服务态度很好，准时送达,1,1,,,
很好??????????,1,,,,
效率快，给骑手点个赞,1,1,,,
不错！送餐快！口味好,1,1,1,,
闪电骑士为你点赞,1,1,,,
不错，好吃！好评！,1,1,1,,
汉堡面包硬了都，别的到还好。奶茶倒是挺热的。挺好。,-1,,-1,,
给朋友定的，应该不错,1,,,,
肥牛？  **你做的孜然羊肉吧  拌着米饭吃还  一股子羊膻腥味 恶心的要死  谁买谁后悔,-1,,-1,,
#德克士鸡块(6元)#酱包没有,-1,-1,,,
不比以前吧 一个汤一份饭 就一个勺子...,-1,-1,,,
配送太慢了，送到后都上班了，,-1,-1,,,
非常非常慢意口感不错,1,,1,,
很好，我和我儿子都很满意,1,,,,
方便快捷，准时到达。,1,1,,,
套餐中的可乐太小了  中杯我看是小杯吧,-1,,-1,,
#超级鸡腿堡(辣味)#一点辣味都没有。,-1,,-1,,
#酱烧肥牛饭#就几块肉，还很硬，干。还比鸡肉饭贵！不会再买了,-1,,-1,,
汉堡里面的肉变成肉干了 干巴巴的 硬死了,-1,,-1,,
#南洋鸡肉脆皮卷#这个用了手抓饼的皮，油腻的很。一点也不好吃！#鲜萃柠檬饮(冷)##香辣鸡翅/2块##土耳其风味烤翅#其余味道还不错！,-1,,-1,,
骑手速度快，找地方准确，真心不错,1,1,,,
很好…很满意…????????,1,,,,
好很好的服务和态度,1,1,,,
非常棒，速度快，辛苦了小哥。,1,1,,,
差评，可乐没吸管，叫我怎么喝？,-1,-1,,,
还可以的！性价比很高！,1,,,1,
薯条太小了，脆皮鸡也没有做出来  不怎么好吃,-1,,-1,,
都备注了把柠檬改成奶茶，送来了的是可乐,-1,-1,,,
真的很想知道这个柠檬里面的漂浮物是啥，谁还喝的下,-1,,-1,,
谢谢快递叔叔，这个服务简直是100分！！！,1,1,,,
慢了半小时就算了 我订的是汉堡套餐+鸡块，送过来只有一个汉堡和鸡块 还给我偷工减料 就一个汉堡 希望大家买的时候 小心提防,-1,-1,,,
送餐准时，服务到位，餐饮可口，食物温度也好，和在店里一样。,1,1,1,,
我备注了只要鸡块给的全是腿，电话打了也不接，既然你的上面有选择为什么不能按照客户要求，就因为美团不能退货所以可以随便给？,-1,-1,,,
东西比实体店贵，饭菜的量比较少吃不饱。,-1,,-1,,
#咔滋薯霸（中）#一直挺好吃#魔法鸡块/6块#的味道怪怪的没有上次好吃#百事可乐（中）#我就忘了标明你们就加了那么多冰块，做事还是要用点心得根据季节来吧,-1,,-1,,
辣味脆皮炸鸡的鸡腿感觉味道变质了。反正我是吃了一口就吐掉了！！,-1,,-1,,
鸡腿很赞，肥美多汁 薯条量足。汉堡我就很呵呵呵呵，占汉堡四分之一的肉饼，黄瓜片，肉片咬不出肉，真的头一次这么评论吃的。半点没做手脚，气不过,-1,,-1,,
手套没提供，辣椒粉也没提供，辣翅还好点，脆皮炸鸡闻着都恶心，没有辣椒粉盖不住一股生鸡肉的味道，直接丢掉了,-1,-1,-1,,
自从KFC开业以来，德克士也没以前好吃了。**要的鸡肉卷弄个手抓饼包起来还是鸡肉卷吗？又甜又油又腻。。。。咖喱饭份量及配菜更丰富，但味道…………**我要吃咖喱饭你搞那么多豆子和玉米粒干嘛？咖喱用来拌饭都拌不匀。。。。,-1,,-1,,
吃着味道不错，快递也很速度\n,1,1,1,,
饭挺好吃，汉堡就一般,-1,,-1,,
照烧酱汁太少，饭很干！鸡肉感觉时间久了！,-1,,-1,,
都不看备注吗，要的不是可乐啊？,-1,-1,,,
外卖小哥好评好评好评！,1,1,,,
我让你给我拿点番茄酱，一个都不给，我咋吃！不好吃还贵,-1,-1,-1,-1,
我就怀疑不看备注么？眼睛瞎呀？回回备注都不看 去店里店里服务态度不好 网上买态度也这样 ,-1,-1,-1,,
汉堡里沙拉酱的少的真是令人无奈,-1,,-1,,
汉堡里面的鸡腿肉肉剩了一天的了，都渗油了。,-1,,-1,,
汉堡好小??，买的东西傻傻分不清哪个是自己的，汉堡里面东西太少了吧,-1,,-1,,
挺好的，送的快，不错。配送费也不贵。,1,1,,,
比脸还大的手枪腿 送了好多料包 超好吃。尤其是这个手枪腿 超喜欢,1,,1,,
味道还可以吧，淡淡的,1,,1,,
很满意味道也很好,1,,1,,
骑手态度很好，就是汉堡说是辣味一点也不辣,-1,1,-1,,
一个料包都没给拿 连吸管都没给拿 打电话后给送的 都快吃完了,-1,-1,,,
#至尊脆皮鸡腿堡##菠萝鸡腿堡##土耳其风味烤翅##德克士鸡块/6块#好好哒,1,,,,
我打的备注多要沙拉和番茄！然而并没有！实体店开大了？不注重外卖了吗！德克士？,-1,-1,,,
